id,name,website,location,notes,relationship,met_date,min_check,max_check,prefers_lead,stages,sectors,blacklist,need_rev,prefers_early_intros,special_requirements,ownership_target_low,ownership_target_high
1,25madison,https://www.25madison.com/,"New York, NY","Incubator too. Hand-build 3 to 4 companies a year, co-invest in more",met,01/14/2022,250,2000,true,"{ pre-seed, seed, A }","{ agnostic, consumer, health }","{ biotech, med device, fintech }",,false,,,
2,Advantage Sports Fund,https://www.advantagesportsfund.com/,Global,John from 22ventures also a decision maker for advantage,met,01/14/2022,1000,3000,true,{ A },"{ sports, sports tech, health, fitness }",,true,,,,
3,Alpaca VC,https://alpaca.vc/,"New York, NY","2m-5m rounds, looking to lead or co lead, will be 2nd or 3rd check. Industry agnostic, have more background in proptech, consumer, mktplaces. Not the most technical team, not going for dev tools, B2B saas. More consumerized software. No med devices, med software is a go. Earlier is better for intros, like to be able to track progress for a bit. Ryan Freedman, partner, ryan@alpaca.vc",met,12/02/2021,250,250,true,"{ pre seed, seed }","{ agnostic, proptech, consumer, marketplaces }","{ dev tools, B2B SaaS, med device, hardware }",,true,,,
4,Amplify LA,http://amplify.la/,"Los Angeles, CA","Willing to be first check. Will fund idea stage, beta, full product. 250k-1M checks, 500k-2.5M rounds, lead or co-lead. Mixture of product and tech background on team. Support portfolio cos with later raise connections, hiring, reviewing product, cust intros. Don’t do hardware, biotech, pharma, Anything with long run to product-market fit. Interested in ecomm enablement cos. Paul Bricault, MP, paul.bricault@amplify.la",met,11/12/2021,250,1000,true,"{ pre seed, seed }",{ e commerce },"{ hardware, biotech, pharma }",false,,,,
5,Andav Capital,http://andavcapital.com/,"New York, NY",,warm,12/09/2021,10,100,,,{ agnostic },,,,,,
6,BAM Ventures,https://www.bam.vc/,"Los Angeles, CA","Consumer focused, will look at B2B with consumer angle. 50MM fund, 300-750k checks, 500k average. Want to invest at inflection/hypergrowth point, need to raise to grow. Richard Jun, MP, richard@bam.vc",met,11/18/2021,300,750,,"{ pre-seed, seed }",{ consumer },,,,,,
7,Surface VC,https://surface.vc,"New York, NY","50MM fund under a new name, investing in B2B SaaS with check sizes 250k-2MM",met,11/10/2021,250,2000,,"{ pre-seed, seed }",{ B2B SaaS },,,,,,
8,BBG Ventures,https://www.bbgventures.com/,"New York, NY","Invest in startups with female founders. B2B/B2C (not D2C), Health and Wellbeing, Future of Education and Work, Climate Friendly Products and Platforms, Overlooked and Emerging Consumers. Somewhat hands on after investment: Hiring, marketing, fundraising. Nisha Dua, MP, nisha.dua@bbgventures.com",met,01/12/2022,500,1000,true,"{ pre-seed, seed }","{ B2B, B2C, health, wellbeing, education, future of work, climate, consumer }",{ med tech },,true,,,
9,Bee Partners,https://www.beepartners.vc/,"San Francisco, CA","Forgot we existed, sent Afters team through their generic intake form",met,12/09/2021,100,1000,,"{ pre-seed, seed }","{ marketplaces, AI, robotics, synthetic bio, enterprise, manufacturing, agritech }",,,,,,
10,Betaworks Ventures,https://betaworksventures.com/,"New York, NY","Typical check size: $100,000 - $500,000. Invest in augmented reality, computer vision, voice interfaces, conversational software. Rarely invest pre-product",met,11/10/2021,100,500,,"{ pre-seed, seed }","{ web3, no code, AI, consumer, AR, computer vision, voice interfaces }",,,,,,
11,Boost VC,https://www.boost.vc/,"San Mateo, CA","Adam Draper, MD, adam@boost.vc. Typically invest through SAFEs",met,03/17/2022,500,500,false,{ pre-seed },"{ crypto, AR, VR, deep tech, hardware }",,,,,,
12,BootstrapLabs,https://bootstraplabs.com/,"San Francisco, CA","AI only. Target 20% ownership, and invest between seed and A, around $5-6M. No rev needed, just traction.",met,01/11/2022,5000,6000,true,"{ seed, A }",{ AI },,false,,,,
13,Cantos Ventures,http://cantos.vc/,"San Francisco, CA",,met,01/11/2022,400,1000,true,"{ pre-seed, seed }","{ climate, materials, chips, defense, robots, defense, next generation computing }",,,,,,
14,Charge Ventures,http://www.charge.vc/,"New York, NY",,warm,11/10/2021,10,100,,,{ agnostic },,,,,,
